store_id,state_id,trxn_ts,ship_ts,amount,discount,payment_type,customer_id
9998,TX,2025-11-21T14:00:24.180076,2025-11-21T14:00:24.180076,99.68,0.3,DBT,8963377
9998,TX,2025-11-21T14:03:11.180562,2025-11-21T14:03:11.180562,100.48,0.2,RET,5574339
9998,TX,2025-11-21T14:04:06.742201,2025-11-21T14:04:06.742201,94.22,0.3,CRD,3403893
9998,TX,2025-11-21T14:05:41.617779,2025-11-21T14:05:41.617779,105.67,0.1,RET,3714170
9998,TX,2025-11-21T14:06:00.729734,2025-11-21T14:06:00.729734,92.13,0.3,CRD,7911479
9998,TX,2025-11-21T14:07:21.821313,2025-11-21T14:07:21.821313,105.4,0.1,CRD,2935672
9998,TX,2025-11-21T14:07:37.065988,2025-11-21T14:07:37.065988,95.64,0.2,CRD,5426375
9998,TX,2025-11-21T14:09:25.653098,2025-11-21T14:09:25.653098,101.49,0.1,RET,2929242
9998,TX,2025-11-21T14:09:36.135568,2025-11-21T14:09:36.135568,95.12,0.1,DBT,6278214
9998,TX,2025-11-21T14:11:41.819080,2025-11-21T14:11:41.819080,97.79,0.2,DBT,1971537
9998,TX,2025-11-21T14:11:47.425557,2025-11-21T14:11:47.425557,92.79,0.1,DBT,3986861
9998,TX,2025-11-21T14:12:52.812499,2025-11-21T14:12:52.812499,95.59,0.1,DBT,4280536
9998,TX,2025-11-21T14:13:20.811117,2025-11-21T14:13:20.811117,97.27,0.2,DBT,6928840
9998,TX,2025-11-21T14:14:36.703984,2025-11-21T14:14:36.703984,98.87,0.1,DBT,7484399
9998,TX,2025-11-21T14:14:57.790703,2025-11-21T14:14:57.790703,83.12,0.1,DBT,2541590
9998,TX,2025-11-21T14:16:15.074451,2025-11-21T14:16:15.074451,103.5,0.2,DBT,7851457
9998,TX,2025-11-21T14:16:32.383683,2025-11-21T14:16:32.383683,91.58,0.1,DBT,8914741
9998,TX,2025-11-21T14:18:11.532592,2025-11-21T14:18:11.532592,104.98,0.2,RET,9139253
9998,TX,2025-11-21T14:18:16.963510,2025-11-21T14:18:16.963510,91.66,0.1,DBT,7092358
9998,TX,2025-11-21T14:18:41.456115,2025-11-21T14:18:41.456115,99.08,0.1,RET,2936678
9998,TX,2025-11-21T14:22:33.166452,2025-11-21T14:22:33.166452,109.02,0.2,RET,5743503
9998,TX,2025-11-21T14:22:44.666628,2025-11-21T14:22:44.666628,91.42,0.2,DBT,6878006
9998,TX,2025-11-21T14:25:12.808929,2025-11-21T14:25:12.808929,103.11,0.1,CRD,6988901
9998,TX,2025-11-21T14:25:15.131735,2025-11-21T14:25:15.131735,93.21,0.2,DBT,1203952
9998,TX,2025-11-21T14:25:15.865834,2025-11-21T14:25:15.865834,97.54,0.2,DBT,5284827
9998,TX,2025-11-21T14:26:31.941184,2025-11-21T14:26:31.941184,100.45,0.2,CRD,6207878
9998,TX,2025-11-21T14:28:40.556317,2025-11-21T14:28:40.556317,103.87,0.1,CRD,6882602
9998,TX,2025-11-21T14:29:14.680949,2025-11-21T14:29:14.680949,96.21,0.1,DBT,3955250
9998,TX,2025-11-21T14:29:36.451082,2025-11-21T14:29:36.451082,94.42,0.1,DBT,3533854
9998,TX,2025-11-21T14:29:43.871852,2025-11-21T14:29:43.871852,98.43,0.1,DBT,4131180
9998,TX,2025-11-21T14:30:43.955377,2025-11-21T14:30:43.955377,102.82,0.1,CRD,5059873
9998,TX,2025-11-21T14:33:27.067190,2025-11-21T14:33:27.067190,109.13,0.3,CRD,4723196
9998,TX,2025-11-21T14:33:57.333449,2025-11-21T14:33:57.333449,101.37,0.2,DBT,9931316
9998,TX,2025-11-21T14:33:57.873041,2025-11-21T14:33:57.873041,101.51,0.2,DBT,4504653
9998,TX,2025-11-21T14:35:34.598111,2025-11-21T14:35:34.598111,91.84,0.2,CRD,4639851
9998,TX,2025-11-21T14:36:00.074409,2025-11-21T14:36:00.074409,96.57,0.2,DBT,6475457
9998,TX,2025-11-21T14:36:37.794963,2025-11-21T14:36:37.794963,98.71,0.1,DBT,6590880
